Year,Topic groups,Topic categories 1,Topic categories 2,Topic categories 3,Suppression,Total,County totals
2015,Residence county by place of occurrence,Deschutes,Linn,,,1,134
2016,Residence county by place of occurrence,Marion,Unknown county,,,2,3
2018,Residence county by place of occurrence,Multnomah,Baker,,,2,5
2017,Residence county by place of occurrence,Multnomah,Klamath,,,4,62
2016,Residence county by place of occurrence,Marion,Douglas,,,1,129
2018,Residence county by place of occurrence,Jackson,Klamath,,,64,95
2019,Residence county by place of occurrence,Columbia,Clackamas,,,1,588
2020,Residence county by place of occurrence,Multnomah,Linn,,,23,119
2017,Residence county by place of occurrence,Lane,Marion,,,6,616
2018,Residence county by place of occurrence,Washington,Columbia,,,3,78
2016,Residence county by place of occurrence,Washington,Marion,,,19,605
2020,Residence county by place of occurrence,Marion,Hood River,,,1,27
2018,Residence county by place of occurrence,Lane,Curry,,,5,23
2015,Residence county by place of occurrence,Marion,Washington,,,8,1048
2017,Residence county by place of occurrence,Multnomah,Columbia,,,73,83
2017,Residence county by place of occurrence,Washington,Multnomah,,,74,2629
2017,Residence county by place of occurrence,Jackson,Lane,,,21,620
2020,Residence county by place of occurrence,Marion,Multnomah,,,15,2082
2020,Residence county by place of occurrence,Marion,Benton,,,34,97
2020,Residence county by place of occurrence,Multnomah,Out-of-state,,,518,672
2016,Residence county by place of occurrence,Marion,Linn,,,59,164
2015,Residence county by place of occurrence,Deschutes,Malheur,,,9,12
2015,Residence county by place of occurrence,Multnomah,Out-of-state,,,921,964
2020,Residence county by place of occurrence,Lane,Washington,,,2,827
2015,Residence county by place of occurrence,Lane,Lane,,,556,709
2017,Residence county by place of occurrence,Deschutes,Crook,,,19,22
2017,Residence county by place of occurrence,Marion,Lincoln,,,26,68
2017,Residence county by place of occurrence,Deschutes,Wheeler,,,2,2
2015,Residence county by place of occurrence,Clackamas,Clackamas,,,30,596
2016,Residence county by place of occurrence,Multnomah,Sherman,,,1,1
2015,Residence county by place of occurrence,Deschutes,Grant,,,3,5
2019,Residence county by place of occurrence,Deschutes,Jefferson,,,34,37
2015,Residence county by place of occurrence,Multnomah,Umatilla,,,14,16
2015,Residence county by place of occurrence,Marion,Wasco,,,1,33
2019,Residence county by place of occurrence,Lane,Out-of-state,,,11,795
2018,Residence county by place of occurrence,Marion,Deschutes,,,3,394
2018,Residence county by place of occurrence,Washington,Yamhill,,,19,149
2018,Residence county by place of occurrence,Clackamas,Lincoln,,,1,74
2016,Residence county by place of occurrence,Marion,Washington,,,7,1107
2019,Residence county by place of occurrence,Washington,Linn,,,1,177
2020,Residence county by place of occurrence,Clackamas,Marion,,,109,624
2018,Residence county by place of occurrence,Multnomah,Union,,,6,7
2018,Residence county by place of occurrence,Multnomah,Polk,,,27,94
2017,Residence county by place of occurrence,Deschutes,Wallowa,,,1,1
2019,Residence county by place of occurrence,Multnomah,Douglas,,,13,153
2019,Residence county by place of occurrence,Deschutes,Lane,,,2,767
2018,Residence county by place of occurrence,Marion,Baker,,,1,5
2019,Residence county by place of occurrence,Deschutes,Josephine,,,1,179
2016,Residence county by place of occurrence,Multnomah,Multnomah,,,2528,2729
2015,Residence county by place of occurrence,Deschutes,Umatilla,,,2,16
2017,Residence county by place of occurrence,Multnomah,Tillamook,,,21,34
2015,Residence county by place of occurrence,Clackamas,Out-of-state,,,4,964
2016,Residence county by place of occurrence,Deschutes,Jefferson,,,34,39
2018,Residence county by place of occurrence,Clackamas,Multnomah,,,154,2578
2016,Residence county by place of occurrence,Washington,Wasco,,,1,49
2020,Residence county by place of occurrence,Multnomah,Crook,,,3,41
2020,Residence county by place of occurrence,Washington,Yamhill,,,22,122
2018,Residence county by place of occurrence,Multnomah,Crook,,,2,29
2020,Residence county by place of occurrence,Lane,Benton,,,15,97
2016,Residence county by place of occurrence,Lane,Marion,,,2,605
2015,Residence county by place of occurrence,Multnomah,Deschutes,,,27,313
2020,Residence county by place of occurrence,Jackson,Linn,,,1,119
2020,Residence county by place of occurrence,Washington,Out-of-state,,,17,672
2018,Residence county by place of occurrence,Multnomah,Jefferson,,,2,22
2018,Residence county by place of occurrence,Multnomah,Tillamook,,,20,30
2020,Residence county by place of occurrence,Josephine,Lane,,,19,468
2016,Residence county by place of occurrence,Jackson,Out-of-state,,,8,947
2020,Residence county by place of occurrence,Columbia,Columbia,,,1,64
2017,Residence county by place of occurrence,Multnomah,Clatsop,,,49,67
2016,Residence county by place of occurrence,Deschutes,Klamath,,,7,72
2016,Residence county by place of occurrence,Multnomah,Curry,,,2,27
2018,Residence county by place of occurrence,Jackson,Jackson,,,320,403
2018,Residence county by place of occurrence,Deschutes,Crook,,,26,29
2018,Residence county by place of occurrence,Lane,Lane,,,662,742
2020,Residence county by place of occurrence,Multnomah,Jefferson,,,5,31
2015,Residence county by place of occurrence,Jackson,Marion,,,1,593
2019,Residence county by place of occurrence,Lane,Linn,,,40,177
2016,Residence county by place of occurrence,Multnomah,Hood River,,,36,38
2015,Residence county by place of occurrence,Multnomah,Harney,,,1,5
2020,Residence county by place of occurrence,Deschutes,Umatilla,,,2,17
2018,Residence county by place of occurrence,Lane,Coos,,,66,78
2015,Residence county by place of occurrence,Lane,Jackson,,,29,400
2020,Residence county by place of occurrence,Multnomah,Jackson,,,21,248
2020,Residence county by place of occurrence,Josephine,Coos,,,2,61
2015,Residence county by place of occurrence,Marion,Multnomah,,,5,2703
2018,Residence county by place of occurrence,Marion,Washington,,,6,1017
2019,Residence county by place of occurrence,Multnomah,Baker,,,1,4
2015,Residence county by place of occurrence,Jackson,Coos,,,2,78
2016,Residence county by place of occurrence,Deschutes,Clatsop,,,1,76
2020,Residence county by place of occurrence,Deschutes,Klamath,,,9,46
2017,Residence county by place of occurrence,Marion,Benton,,,31,101
2017,Residence county by place of occurrence,Multnomah,Jackson,,,34,314
2020,Residence county by place of occurrence,Clackamas,Washington,,,130,827
2018,Residence county by place of occurrence,Jackson,Lake,,,3,6
2016,Residence county by place of occurrence,Clackamas,Jackson,,,1,371
2020,Residence county by place of occurrence,Deschutes,Linn,,,1,119
2020,Residence county by place of occurrence,Multnomah,Union,,,7,9
2019,Residence county by place of occurrence,Marion,Klamath,,,1,96
2016,Residence county by place of occurrence,Washington,Polk,,,7,100
2017,Residence county by place of occurrence,Clackamas,Columbia,,,5,83
2018,Residence county by place of occurrence,Multnomah,Clatsop,,,51,64
2019,Residence county by place of occurrence,Multnomah,Harney,,,2,6
2019,Residence county by place of occurrence,Clackamas,Lane,,,3,767
2016,Residence county by place of occurrence,Jackson,Washington,,,1,1107
2019,Residence county by place of occurrence,Lane,Morrow,,,1,2
2020,Residence county by place of occurrence,Marion,Marion,,,313,624
2019,Residence county by place of occurrence,Clackamas,Multnomah,,,177,2633
2019,Residence county by place of occurrence,Multnomah,Malheur,,,5,14
2017,Residence county by place of occurrence,Clackamas,Multnomah,,,68,2629
2016,Residence county by place of occurrence,Marion,Tillamook,,,2,36
2015,Residence county by place of occurrence,Lane,Multnomah,,,2,2703
2020,Residence county by place of occurrence,Multnomah,Deschutes,,,24,365
2017,Residence county by place of occurrence,Lane,Curry,,,7,19
2020,Residence county by place of occurrence,Clackamas,Tillamook,,,6,35
2020,Residence county by place of occurrence,Multnomah,Clackamas,,,290,549
2020,Residence county by place of occurrence,Deschutes,Lake,,,5,7
2018,Residence county by place of occurrence,Lane,Yamhill,,,1,149
2015,Residence county by place of occurrence,Deschutes,Marion,,,2,593
2019,Residence county by place of occurrence,Multnomah,Morrow,,,1,2
2019,Residence county by place of occurrence,Washington,Baker,,,1,4
2018,Residence county by place of occurrence,Multnomah,Morrow,,,1,1
2019,Residence county by place of occurrence,Multnomah,Sherman,,,2,2
2020,Residence county by place of occurrence,Deschutes,Wheeler,,,1,1
2017,Residence county by place of occurrence,Washington,Lincoln,,,1,68
2017,Residence county by place of occurrence,Marion,Klamath,,,1,62
2017,Residence county by place of occurrence,Washington,Washington,,,418,1093
2016,Residence county by place of occurrence,Clackamas,Columbia,,,4,81
2020,Residence county by place of occurrence,Multnomah,Clatsop,,,35,46
2016,Residence county by place of occurrence,Lane,Linn,,,28,164
2017,Residence county by place of occurrence,Jackson,Jackson,,,248,314
2019,Residence county by place of occurrence,Deschutes,Benton,,,2,117
2017,Residence county by place of occurrence,Deschutes,Lake,,,4,4
2019,Residence county by place of occurrence,Washington,Columbia,,,7,57
2017,Residence county by place of occurrence,Jackson,Benton,,,3,101
2020,Residence county by place of occurrence,Josephine,Curry,,,2,27
2019,Residence county by place of occurrence,Jackson,Linn,,,3,177
2018,Residence county by place of occurrence,Multnomah,Benton,,,34,115
2020,Residence county by place of occurrence,Jackson,Klamath,,,19,46
2018,Residence county by place of occurrence,Lane,Crook,,,1,29
2016,Residence county by place of occurrence,Marion,Multnomah,,,7,2729
2016,Residence county by place of occurrence,Marion,Yamhill,,,39,166
2018,Residence county by place of occurrence,Washington,Benton,,,1,115
2016,Residence county by place of occurrence,Deschutes,Crook,,,24,30
2020,Residence county by place of occurrence,Clackamas,Polk,,,13,99
2019,Residence county by place of occurrence,Deschutes,Harney,,,4,6
2015,Residence county by place of occurrence,Multnomah,Clackamas,,,518,596
2018,Residence county by place of occurrence,Jackson,Curry,,,8,23
2020,Residence county by place of occurrence,Multnomah,Benton,,,17,97
2017,Residence county by place of occurrence,Clackamas,Yamhill,,,10,145
2020,Residence county by place of occurrence,Deschutes,Jackson,,,1,248
2019,Residence county by place of occurrence,Josephine,Curry,,,9,31
2015,Residence county by place of occurrence,Lane,Douglas,,,80,122
2016,Residence county by place of occurrence,Washington,Multnomah,,,54,2729
2019,Residence county by place of occurrence,Clackamas,Union,,,1,6
2019,Residence county by place of occurrence,Jackson,Douglas,,,10,153
2016,Residence county by place of occurrence,Jackson,Curry,,,16,27
2020,Residence county by place of occurrence,Marion,Morrow,,,1,3
2018,Residence county by place of occurrence,Washington,Lane,,,2,742
2018,Residence county by place of occurrence,Jackson,Polk,,,1,94
2016,Residence county by place of occurrence,Multnomah,Columbia,,,64,81
2018,Residence county by place of occurrence,Multnomah,Marion,,,222,670
2018,Residence county by place of occurrence,Marion,Tillamook,,,3,30
2018,Residence county by place of occurrence,Washington,Marion,,,17,670
2019,Residence county by place of occurrence,Multnomah,Jackson,,,13,403
2015,Residence county by place of occurrence,Marion,Marion,,,241,593
2017,Residence county by place of occurrence,Washington,Polk,,,2,106
2019,Residence county by place of occurrence,Clackamas,Umatilla,,,1,17
2018,Residence county by place of occurrence,Multnomah,Curry,,,3,23
2018,Residence county by place of occurrence,Washington,Out-of-state,,,9,828
2017,Residence county by place of occurrence,Marion,Polk,,,51,106
2019,Residence county by place of occurrence,Clackamas,Out-of-state,,,65,795
2018,Residence county by place of occurrence,Multnomah,Multnomah,,,2344,2578
2016,Residence county by place of occurrence,Deschutes,Grant,,,5,5
2020,Residence county by place of occurrence,Jackson,Josephine,,,28,107
2018,Residence county by place of occurrence,Deschutes,Out-of-state,,,14,828
2015,Residence county by place of occurrence,Washington,Columbia,,,2,74
2015,Residence county by place of occurrence,Multnomah,Jackson,,,54,400
2018,Residence county by place of occurrence,Multnomah,Gilliam,,,1,1
2019,Residence county by place of occurrence,Multnomah,Washington,,,522,913
2016,Residence county by place of occurrence,Jackson,Unknown county,,,1,3
2018,Residence county by place of occurrence,Lane,Multnomah,,,3,2578
2018,Residence county by place of occurrence,Josephine,Klamath,,,2,95
2015,Residence county by place of occurrence,Lane,Josephine,,,13,113
2018,Residence county by place of occurrence,Clackamas,Polk,,,6,94
2019,Residence county by place of occurrence,Multnomah,Columbia,,,46,57
2020,Residence county by place of occurrence,Jackson,Jackson,,,135,248
2019,Residence county by place of occurrence,Multnomah,Multnomah,,,2354,2633
2016,Residence county by place of occurrence,Washington,Linn,,,6,164
2016,Residence county by place of occurrence,Deschutes,Marion,,,2,605
2018,Residence county by place of occurrence,Benton,Linn,,,2,138
2016,Residence county by place of occurrence,Lane,Douglas,,,94,129
2018,Residence county by place of occurrence,Clackamas,Deschutes,,,1,394
2017,Residence county by place of occurrence,Washington,Clatsop,,,15,67
2018,Residence county by place of occurrence,Marion,Lincoln,,,32,74
2020,Residence county by place of occurrence,Lane,Klamath,,,9,46
2019,Residence county by place of occurrence,Deschutes,Jackson,,,1,403
2020,Residence county by place of occurrence,Josephine,Klamath,,,1,46
2019,Residence county by place of occurrence,Washington,Yamhill,,,13,124
2018,Residence county by place of occurrence,Deschutes,Clackamas,,,1,677
2015,Residence county by place of occurrence,Jackson,Out-of-state,,,14,964
2016,Residence county by place of occurrence,Clackamas,Tillamook,,,1,36
2017,Residence county by place of occurrence,Multnomah,Linn,,,44,158
2016,Residence county by place of occurrence,Multnomah,Douglas,,,24,129
2016,Residence county by place of occurrence,Washington,Clackamas,,,22,654
2020,Residence county by place of occurrence,Deschutes,Malheur,,,8,12
2019,Residence county by place of occurrence,Multnomah,Tillamook,,,20,29
2018,Residence county by place of occurrence,Clackamas,Linn,,,4,138
2019,Residence county by place of occurrence,Marion,Lincoln,,,41,84
2019,Residence county by place of occurrence,Multnomah,Crook,,,3,29
2019,Residence county by place of occurrence,Deschutes,Crook,,,26,29
2019,Residence county by place of occurrence,Washington,Tillamook,,,4,29
2015,Residence county by place of occurrence,Deschutes,Polk,,,1,91
2019,Residence county by place of occurrence,Josephine,Douglas,,,12,153
2017,Residence county by place of occurrence,Washington,Jackson,,,1,314
2018,Residence county by place of occurrence,Multnomah,Clackamas,,,448,677
2015,Residence county by place of occurrence,Multnomah,Union,,,13,13
2015,Residence county by place of occurrence,Deschutes,Crook,,,21,22
2018,Residence county by place of occurrence,Marion,Lane,,,7,742
2018,Residence county by place of occurrence,Marion,Malheur,,,1,13
2020,Residence county by place of occurrence,Deschutes,Hood River,,,1,27
2017,Residence county by place of occurrence,Marion,Marion,,,321,616
2017,Residence county by place of occurrence,Multnomah,Wasco,,,34,37
2020,Residence county by place of occurrence,Jackson,Out-of-state,,,9,672
2015,Residence county by place of occurrence,Multnomah,Multnomah,,,2580,2703
2018,Residence county by place of occurrence,Lane,Out-of-state,,,22,828
2016,Residence county by place of occurrence,Clackamas,Wasco,,,1,49
2017,Residence county by place of occurrence,Marion,Jefferson,,,1,41
2020,Residence county by place of occurrence,Marion,Polk,,,48,99
2020,Residence county by place of occurrence,Clackamas,Clatsop,,,7,46
2020,Residence county by place of occurrence,Lane,Yamhill,,,1,122
2019,Residence county by place of occurrence,Washington,Jackson,,,1,403
2020,Residence county by place of occurrence,Marion,Coos,,,1,61
2018,Residence county by place of occurrence,Lane,Josephine,,,26,174
2015,Residence county by place of occurrence,Multnomah,Unknown county,,,2,2
2020,Residence county by place of occurrence,Jackson,Polk,,,1,99
2019,Residence county by place of occurrence,Washington,Polk,,,5,106
2015,Residence county by place of occurrence,Marion,Lincoln,,,25,83
2019,Residence county by place of occurrence,Washington,Lincoln,,,2,84
2019,Residence county by place of occurrence,Multnomah,Union,,,4,6
2019,Residence county by place of occurrence,Marion,Union,,,1,6
2017,Residence county by place of occurrence,Deschutes,Baker,,,3,4
2019,Residence county by place of occurrence,Lane,Lincoln,,,18,84
2019,Residence county by place of occurrence,Josephine,Coos,,,4,88
2015,Residence county by place of occurrence,Marion,Clackamas,,,7,596
2017,Residence county by place of occurrence,Deschutes,Deschutes,,,343,371
2019,Residence county by place of occurrence,Washington,Marion,,,22,701
2020,Residence county by place of occurrence,Benton,Benton,,,13,97
2020,Residence county by place of occurrence,Multnomah,Morrow,,,1,3
2019,Residence county by place of occurrence,Jackson,Lane,,,9,767
2015,Residence county by place of occurrence,Washington,Coos,,,1,78
2019,Residence county by place of occurrence,Marion,Linn,,,86,177
2016,Residence county by place of occurrence,Marion,Benton,,,35,89
2020,Residence county by place of occurrence,Clackamas,Columbia,,,9,64
2017,Residence county by place of occurrence,Deschutes,Out-of-state,,,6,844
2018,Residence county by place of occurrence,Deschutes,Jackson,,,2,403
2019,Residence county by place of occurrence,Josephine,Polk,,,1,106
2019,Residence county by place of occurrence,Deschutes,Multnomah,,,1,2633
2020,Residence county by place of occurrence,Deschutes,Yamhill,,,1,122
2020,Residence county by place of occurrence,Marion,Washington,,,6,827
2015,Residence county by place of occurrence,Marion,Polk,,,31,91
2016,Residence county by place of occurrence,Marion,Lane,,,3,710
2015,Residence county by place of occurrence,Multnomah,Lane,,,119,709
2020,Residence county by place of occurrence,Washington,Polk,,,5,99
2020,Residence county by place of occurrence,Clackamas,Wasco,,,6,30
2018,Residence county by place of occurrence,Lane,Lincoln,,,13,74
2018,Residence county by place of occurrence,Clackamas,Clackamas,,,206,677
2018,Residence county by place of occurrence,Marion,Clackamas,,,6,677
2015,Residence county by place of occurrence,Lane,Polk,,,1,91
2019,Residence county by place of occurrence,Jackson,Out-of-state,,,24,795
2018,Residence county by place of occurrence,Lane,Polk,,,1,94
2017,Residence county by place of occurrence,Jackson,Unknown county,,,1,1
2019,Residence county by place of occurrence,Multnomah,Lane,,,60,767
2019,Residence county by place of occurrence,Jackson,Josephine,,,49,179
2018,Residence county by place of occurrence,Josephine,Douglas,,,2,129
2019,Residence county by place of occurrence,Clackamas,Clackamas,,,239,588
2016,Residence county by place of occurrence,Jackson,Douglas,,,8,129
2015,Residence county by place of occurrence,Washington,Polk,,,9,91
2016,Residence county by place of occurrence,Multnomah,Linn,,,63,164
2016,Residence county by place of occurrence,Jackson,Multnomah,,,2,2729
2015,Residence county by place of occurrence,Clackamas,Washington,,,8,1048
2018,Residence county by place of occurrence,Multnomah,Lincoln,,,26,74
2017,Residence county by place of occurrence,Deschutes,Jefferson,,,30,41
2019,Residence county by place of occurrence,Jackson,Benton,,,1,117
2018,Residence county by place of occurrence,Multnomah,Unknown county,,,1,1
2019,Residence county by place of occurrence,Multnomah,Deschutes,,,32,400
2019,Residence county by place of occurrence,Josephine,Benton,,,1,117
2019,Residence county by place of occurrence,Jackson,Jackson,,,329,403
2018,Residence county by place of occurrence,Lane,Marion,,,3,670
2020,Residence county by place of occurrence,Clackamas,Benton,,,8,97
2020,Residence county by place of occurrence,Multnomah,Hood River,,,22,27
2020,Residence county by place of occurrence,Clackamas,Umatilla,,,3,17
2016,Residence county by place of occurrence,Deschutes,Lane,,,2,710
2015,Residence county by place of occurrence,Washington,Lincoln,,,5,83
2017,Residence county by place of occurrence,Washington,Yamhill,,,29,145
2017,Residence county by place of occurrence,Deschutes,Linn,,,1,158
2018,Residence county by place of occurrence,Multnomah,Malheur,,,7,13
2017,Residence county by place of occurrence,Clackamas,Lincoln,,,2,68
2020,Residence county by place of occurrence,Clackamas,Out-of-state,,,96,672
2017,Residence county by place of occurrence,Marion,Clatsop,,,1,67
2020,Residence county by place of occurrence,Multnomah,Multnomah,,,1701,2082
2015,Residence county by place of occurrence,Lane,Columbia,,,1,74
2017,Residence county by place of occurrence,Deschutes,Wasco,,,1,37
2020,Residence county by place of occurrence,Lane,Lane,,,378,468
2015,Residence county by place of occurrence,Multnomah,Tillamook,,,24,31
2020,Residence county by place of occurrence,Marion,Douglas,,,1,76
2020,Residence county by place of occurrence,Jackson,Coos,,,2,61
2015,Residence county by place of occurrence,Jackson,Josephine,,,87,113
2019,Residence county by place of occurrence,Lane,Yamhill,,,2,124
2019,Residence county by place of occurrence,Deschutes,Baker,,,2,4
2020,Residence county by place of occurrence,Multnomah,Yamhill,,,49,122
2020,Residence county by place of occurrence,Josephine,Benton,,,3,97
2016,Residence county by place of occurrence,Multnomah,Union,,,4,4
2016,Residence county by place of occurrence,Multnomah,Deschutes,,,29,365
2020,Residence county by place of occurrence,Clackamas,Multnomah,,,286,2082
2017,Residence county by place of occurrence,Deschutes,Malheur,,,11,13
2016,Residence county by place of occurrence,Washington,Columbia,,,13,81
2016,Residence county by place of occurrence,Lane,Multnomah,,,1,2729
2018,Residence county by place of occurrence,Multnomah,Klamath,,,6,95
2017,Residence county by place of occurrence,Jackson,Coos,,,2,60
2019,Residence county by place of occurrence,Clackamas,Washington,,,46,913
2015,Residence county by place of occurrence,Multnomah,Hood River,,,19,19
2016,Residence county by place of occurrence,Multnomah,Crook,,,5,30
2019,Residence county by place of occurrence,Marion,Out-of-state,,,7,795
2018,Residence county by place of occurrence,Deschutes,Malheur,,,5,13
2018,Residence county by place of occurrence,Deschutes,Grant,,,2,2
2017,Residence county by place of occurrence,Multnomah,Coos,,,17,60
2017,Residence county by place of occurrence,Multnomah,Deschutes,,,25,371
2017,Residence county by place of occurrence,Deschutes,Clackamas,,,1,721
2015,Residence county by place of occurrence,Marion,Out-of-state,,,3,964
2018,Residence county by place of occurrence,Jackson,Lane,,,4,742
2020,Residence county by place of occurrence,Lane,Douglas,,,53,76
2020,Residence county by place of occurrence,Multnomah,Coos,,,8,61
2017,Residence county by place of occurrence,Multnomah,Harney,,,1,11
2017,Residence county by place of occurrence,Multnomah,Umatilla,,,10,10
2020,Residence county by place of occurrence,Washington,Tillamook,,,6,35
2016,Residence county by place of occurrence,Clackamas,Clackamas,,,133,654
2020,Residence county by place of occurrence,Marion,Linn,,,59,119
2019,Residence county by place of occurrence,Deschutes,Wheeler,,,1,1
2020,Residence county by place of occurrence,Lane,Lake,,,2,7
2019,Residence county by place of occurrence,Clackamas,Columbia,,,2,57
2020,Residence county by place of occurrence,Clackamas,Coos,,,1,61
2019,Residence county by place of occurrence,Lane,Tillamook,,,1,29
2015,Residence county by place of occurrence,Multnomah,Coos,,,22,78
2019,Residence county by place of occurrence,Lane,Deschutes,,,1,400
2015,Residence county by place of occurrence,Lane,Curry,,,3,16
2018,Residence county by place of occurrence,Deschutes,Douglas,,,3,129
2016,Residence county by place of occurrence,Clackamas,Hood River,,,2,38
2017,Residence county by place of occurrence,Deschutes,Grant,,,2,2
2018,Residence county by place of occurrence,Jackson,Multnomah,,,1,2578
2016,Residence county by place of occurrence,Multnomah,Clatsop,,,53,76
2019,Residence county by place of occurrence,Marion,Marion,,,415,701
2018,Residence county by place of occurrence,Clackamas,Yamhill,,,11,149
2015,Residence county by place of occurrence,Lane,Linn,,,27,134
2017,Residence county by place of occurrence,Multnomah,Polk,,,48,106
2017,Residence county by place of occurrence,Deschutes,Coos,,,1,60
2017,Residence county by place of occurrence,Multnomah,Baker,,,1,4
2018,Residence county by place of occurrence,Deschutes,Deschutes,,,353,394
2016,Residence county by place of occurrence,Multnomah,Josephine,,,16,159
2016,Residence county by place of occurrence,Jackson,Josephine,,,125,159
2015,Residence county by place of occurrence,Washington,Out-of-state,,,14,964
2015,Residence county by place of occurrence,Multnomah,Crook,,,1,22
2016,Residence county by place of occurrence,Marion,Josephine,,,1,159
2019,Residence county by place of occurrence,Washington,Umatilla,,,2,17
2016,Residence county by place of occurrence,Lane,Benton,,,19,89
2016,Residence county by place of occurrence,Deschutes,Malheur,,,7,10
2015,Residence county by place of occurrence,Clackamas,Marion,,,11,593
